Date,Value
2023-04-28,0
2023-04-29,0
2023-04-30,0
2023-05-01,92426
2023-05-02,92426
2023-05-03,163937
2023-05-04,163937
2023-05-05,163937
2023-05-06,163937
2023-05-07,163937
2023-05-08,460924
2023-05-09,460924
2023-05-10,460924
2023-05-11,460924
2023-05-12,460924
2023-05-13,460924
2023-05-14,628924
2023-05-15,886712
2023-05-16,1012712
2023-05-17,1272028
2023-05-18,1314028
2023-05-19,4191028
2023-05-20,5451028
2023-05-21,6246021
2023-05-22,6855021
2023-05-23,7674021
2023-05-24,34365021
2023-05-25,59775021
2023-05-26,65566783
2023-05-27,65843323
2023-05-28,65906323
2023-05-29,144845323
2023-05-30,506612323
2023-05-31,761309552
2023-06-01,762619104
2023-06-02,765667239
2023-06-03,765877239
2023-06-04,766255239
2023-06-05,768277098
2023-06-06,768445098
2023-06-07,770684223
2023-06-08,772171983
2023-06-09,786802182
2023-06-10,788545182
2023-06-11,788755182
2023-06-12,789049182
2023-06-13,789532182
2023-06-14,790102734
2023-06-15,790484298
2023-06-16,790616074
2023-06-17,790973074
2023-06-18,791288074
2023-06-19,791582074
2023-06-20,791624074
2023-06-21,791687074
2023-06-22,791708074
2023-06-23,797748347
2023-06-24,797769347
2023-06-25,797791291
2023-06-26,797854291
2023-06-27,798887754
2023-06-28,799670118
2023-06-29,802834317
2023-06-30,807255160
2023-07-01,811502476
2023-07-02,820729960
2023-07-03,826504960
2023-07-04,838733849
2023-07-05,846915575
2023-07-06,856141775
2023-07-07,867964775
2023-07-08,877393775
2023-07-09,888796775
2023-07-10,896106563
2023-07-11,910659563
2023-07-12,926577563
2023-07-13,1840497563
2023-07-14,2993272203
2023-07-15,4176076203
2023-07-16,5392648203
2023-07-17,6077667221
2023-07-18,6389181221
2023-07-19,6621945285
2023-07-20,6929847285
2023-07-21,7251903285
2023-07-22,7673331894
2023-07-23,7853895658
2023-07-24,7976976020
2023-07-25,8143380020
2023-07-26,8277130820
2023-07-27,8413439442
2023-07-28,8537906442
2023-07-29,8673881442
2023-07-30,8825276242
2023-07-31,8981285242
2023-08-01,9130778220
2023-08-02,9290273265
2023-08-03,9451259265
2023-08-04,9598490265
2023-08-05,9734864310
2023-08-06,9878336310
2023-08-07,10021810086
2023-08-08,10160893086
2023-08-09,10298107086
2023-08-10,10455103086
2023-08-11,10613044692
2023-08-12,10774639692
2023-08-13,10935417468
2023-08-14,11116786506
2023-08-15,11281321506
2023-08-16,11449993517
2023-08-17,11628714169
2023-08-18,11800018249
2023-08-19,11984167249
2023-08-20,12167245249
2023-08-21,12368131249
2023-08-22,12505177681
2023-08-23,12645920545
2023-08-24,12795944545
2023-08-25,12938765545
2023-08-26,13071001021
2023-08-27,13197463021
2023-08-28,13355593021
2023-08-29,13497154021
2023-08-30,13669396021
2023-08-31,13802432809
2023-09-01,14148689947
2023-09-02,14263036723
2023-09-03,14385993499
2023-09-04,14502354499
2023-09-05,14618673499
2023-09-06,14750385499
2023-09-07,14880333499
2023-09-08,15017906287
2023-09-09,15168546993
2023-09-10,15299964993
2023-09-11,15456855993
2023-09-12,15637980993
2023-09-13,15816123993
2023-09-14,15971586993
2023-09-15,16117516057
2023-09-16,16247128057
2023-09-17,16379974057
2023-09-18,16543165057
2023-09-19,16684369057
2023-09-20,16821163057
2023-09-21,16968878833
2023-09-22,17127785833
2023-09-23,17269514833
2023-09-24,17416451833
2023-09-25,17620319833
2023-09-26,17806675609
2023-09-27,17995990609
2023-09-28,18177136609
2023-09-29,18393961609
2023-09-30,18570718609
2023-10-01,18754426609
2023-10-02,19019347361
2023-10-03,19282666361
2023-10-04,19489579361
2023-10-05,19690003361
2023-10-06,19898827361
2023-10-07,20114917361
2023-10-08,20317840361
2023-10-09,20601441930
2023-10-10,20852707964
2023-10-11,21099318903
2023-10-12,21311885036
2023-10-13,21521847526
2023-10-14,21751905579
2023-10-15,22001016514
2023-10-16,22253301873
2023-10-17,22568735886
2023-10-18,22863307951
2023-10-19,23110113878
2023-10-20,23400315672
2023-10-21,23662871953
2023-10-22,23912445133
